PYTHON vs FORTRAN COMPARISON (First 365 days)
================================================================================

Timestep-by-timestep comparison for key variables:
------------------------------------------------------------------------------------------------------------------------
Step   Time     F_Ts       P_Ts       Diff_Ts    F_Tb       P_Tb       Diff_Tb    F_h_ML     P_h_ML     Diff_h_ML  
143    143.00   14.54310   15.35924   0.81614    6.61286    5.63971    -0.97315   3.86040    2.16995    -1.69045   
144    144.00   14.92140   15.55289   0.63149    6.65331    5.64882    -1.00449   3.86041    2.16996    -1.69045   
145    145.00   15.12210   14.76439   -0.35771   6.67719    5.63444    -1.04275   3.86042    2.43886    -1.42156   
146    146.00   14.73670   16.15845   1.42175    6.66258    5.63444    -1.02814   4.02400    1.82639    -2.19761   
147    147.00   15.03820   17.98643   2.94823    6.68804    5.63444    -1.05360   4.02401    1.33610    -2.68791   
148    148.00   15.81220   18.51337   2.70117    6.68804    5.64647    -1.04157   3.98046    1.33611    -2.64435   
149    149.00   16.44680   18.47669   2.02989    6.68804    5.63770    -1.05034   3.93962    1.37782    -2.56180   
150    150.00   16.63070   16.37834   -0.25236   6.70594    5.58092    -1.12502   3.93963    2.01613    -1.92350   
151    151.00   16.13770   16.90330   0.76560    6.70012    5.60161    -1.09851   4.10602    2.01613    -2.08989   
152    152.00   16.54890   17.32724   0.77834    6.73217    5.61890    -1.11327   4.10603    2.01614    -2.08989   
153    153.00   16.89950   15.46002   -1.43948   6.76864    5.64200    -1.12664   4.10604    2.61297    -1.49307   
154    154.00   16.02360   14.11343   -1.91017   6.90091    5.66461    -1.23630   4.42988    3.01910    -1.41078   
155    155.00   15.13130   15.64330   0.51200    7.00992    5.66461    -1.34531   4.65517    2.46938    -2.18579   
156    156.00   15.77660   17.28660   1.51000    7.00992    5.66461    -1.34531   4.55834    2.07027    -2.48807   
157    157.00   16.52680   18.35868   1.83188    7.00992    5.66461    -1.34531   4.46667    1.83755    -2.62912   
158    158.00   17.49660   20.26620   2.76960    7.00992    5.66461    -1.34531   4.08368    1.41883    -2.66485   
159    159.00   18.89330   20.90307   2.00977    7.00992    5.65832    -1.35160   3.59306    1.41884    -2.17422   
160    160.00   19.86070   21.22158   1.36088    7.00992    5.65236    -1.35756   3.38111    1.41885    -1.96226   
161    161.00   20.20040   20.97091   0.77051    7.02095    5.64642    -1.37453   3.38112    1.50250    -1.87862   
162    162.00   20.26580   20.44024   0.17444    7.04246    5.64471    -1.39775   3.41017    1.62931    -1.78086   
163    163.00   20.13520   20.71114   0.57594    7.06715    5.64599    -1.42116   3.45858    1.62932    -1.82926   
164    164.00   20.35520   21.37538   1.02018    7.08822    5.64599    -1.44223   3.47089    1.61726    -1.85363   
165    165.00   20.85940   21.92599   1.06659    7.09032    5.64574    -1.44458   3.47090    1.61727    -1.85363   
166    166.00   21.75150   19.59206   -2.15944   7.09032    5.65202    -1.43830   3.42416    2.07584    -1.34832   
167    167.00   20.63480   20.05124   -0.58356   7.15172    5.65499    -1.49673   3.60093    2.07585    -1.52508   
168    168.00   20.87940   20.23962   -0.63978   7.17605    5.65684    -1.51921   3.61073    2.07586    -1.53487   
169    169.00   20.95550   17.22298   -3.73252   7.19801    5.83786    -1.36015   3.62621    2.77026    -0.85595   
170    170.00   18.93680   17.39365   -1.54315   7.60114    5.84425    -1.75689   4.00213    2.77026    -1.23187   
171    171.00   18.83440   17.06369   -1.77071   7.60898    5.87134    -1.73764   4.03833    2.85684    -1.18149   
172    172.00   18.32750   17.20156   -1.12594   7.62532    5.87535    -1.74997   4.13114    2.85685    -1.27429   
173    173.00   18.28280   17.28195   -1.00085   7.63226    5.87929    -1.75297   4.16194    2.85686    -1.30508   
174    174.00   18.23260   17.68093   -0.55167   7.63791    5.87929    -1.75862   4.18642    2.79222    -1.39420   
175    175.00   18.37360   17.67293   -0.70067   7.64193    5.89094    -1.75099   4.19552    2.81243    -1.38309   
176    176.00   18.25680   16.86397   -1.39283   7.65034    5.92188    -1.72846   4.23618    2.97478    -1.26140   
177    177.00   17.63810   19.61883   1.98073    7.66667    5.92188    -1.74479   4.33623    1.96757    -2.36866   
