time,stratification,thermocline_depth,stability,surface_temp,bottom_temp,mixed_layer_depth
2246,-0.6287077698932535,2.97979797979798,0.00036488785945067864,0.0,0.6287077698932535,0.0
2277,-0.8416489336150335,4.648484848484848,0.0004884741250261292,0.0,0.8416489336150335,0.0
2308,0.0,0.2383838383838384,0.0,4.19277488556753,4.19277488556753,5.9
2340,13.263259604952058,5.9,-0.006460652067480408,18.43863953285751,5.175379927905453,2.304527687802947
2371,17.378186047016413,5.9,-0.009070219220870528,21.49373413122595,4.115548084209536,2.26888052391035
2402,17.75353928880656,5.9,-0.009805443090490758,21.86507737475443,4.111538085947871,2.061467978321125
2433,10.21806570970949,5.9,-0.004385863808868989,14.87821898831521,4.660153278605719,3.51431149787946
2464,7.069588356777615,5.9,-0.0037342930620642414,12.11956216621354,5.049973809435926,2.691838425298776
2496,1.517167293015632,5.9,-0.00028381082164111274,6.680912755135523,5.163745462119891,5.000302525502045
2527,0.0,4.171717171717172,0.0,3.31771523222784,3.31771523222784,5.9
2558,0.0,4.171717171717172,0.0,0.24964051135521,0.24964051135521,5.9
2589,-0.3674256921500501,5.184848484848485,0.00021324561383833217,0.0,0.3674256921500501,0.0
2620,-0.5263492769189497,5.602020202020202,0.0003054812906336073,0.0,0.5263492769189497,0.0
2652,-0.6795591159225296,4.648484848484848,0.00039440083780301977,0.0,0.6795591159225296,0.0
2683,5.293111256508382,5.9,-0.0025442551568422484,9.274101967756735,3.980990711248353,2.443794393484699
2714,12.196047007270518,5.9,-0.006574828211727379,16.25721195351053,4.061164946240012,1.993077707378211
2745,17.27727821467772,5.9,-0.009742496648625587,21.27377434918901,3.99649613451129,1.829040379048794
2776,11.600859048671452,5.9,-0.006342303040299648,16.10612962510214,4.505270576430689,2.378799589832489
2808,10.326944712689167,5.9,-0.005755151250958072,15.22439308432291,4.897448371633743,2.338233177645835
2839,4.658077966878352,5.9,-0.002200907944818697,9.773150309062714,5.115072342184362,3.227031181223818
2870,0.0,0.1787878787878788,0.0,4.827270145203954,4.827270145203954,5.9
2901,0.0,0.2383838383838384,0.0,0.2357342537621889,0.2357342537621889,5.9
2932,0.0,0.0,0.0,0.0,0.0,5.9
2964,0.0,0.1191919191919192,0.0,0.34923055112057,0.34923055112057,5.9
2995,0.0,0.1191919191919192,0.0,1.367009642953121,1.367009642953121,5.9
3026,0.0,0.2383838383838384,0.0,6.086796453061311,6.086796453061311,5.9
3057,10.37211388187006,5.9,-0.005453063736423425,16.43217528301795,6.060061401147891,2.48134220867769
3088,13.947491224595751,5.9,-0.008375328500217195,20.44206881969677,6.494577595101021,1.421571863808452
3120,10.14286573805009,5.9,-0.005487608346134287,16.92862969761785,6.78576395956776,2.545121666609894
3151,11.871376285239823,5.9,-0.0066549338620007555,18.88237763236498,7.011001347125159,2.292758580370465
3182,6.404923606392284,5.9,-0.002950227631941636,13.59189785648169,7.186974250089406,3.326180209000039
3213,2.343606595281699,5.9,-0.0005923813018025322,9.696201723818263,7.352595128536564,4.665762665832464
3244,0.0,0.2383838383838384,0.0,3.363359867943132,3.363359867943132,5.9
3276,0.0,0.1191919191919192,0.0,0.7700231227558447,0.7700231227558447,5.9
3307,0.0,0.1191919191919192,7.729372697440341e-19,1.449310357534387,1.449310357534387,5.9
3338,0.0,0.2383838383838384,7.729372697440341e-19,1.551488135398586,1.551488135398586,5.9
3369,0.0,0.2383838383838384,0.0,4.993876931758393,4.993876931758393,5.9
3400,2.202073699442451,5.9,-0.0006275423840301833,7.989532481478307,5.787458782035856,4.468455867484594
3432,12.228823555730518,5.9,-0.00709883745039327,18.01348484198758,5.784661286257062,1.979407930750663
3463,16.327202276961376,5.9,-0.00964334064231568,22.24627049323158,5.919068216270205,1.780540251903527
3494,14.890719324011627,5.9,-0.008801619194054875,21.1443434604883,6.253624136476674,1.770677248372038
3525,10.282474918787617,5.9,-0.005501804318895917,16.85878877252691,6.576313853739293,2.614951746228878
3556,9.217341727170318,5.9,-0.00504923522411539,15.95050142544579,6.733159698275472,2.462267285020635
3588,2.061545582793883,5.9,-0.0006174400711123583,8.998850833129438,6.937305250335555,4.352972981010697
3619,0.0,0.1191919191919192,0.0,1.219476771209884,1.219476771209884,5.9
3650,-0.2173812605711873,4.231313131313131,0.00012616319799575287,0.0,0.2173812605711873,0.0
3681,-0.24338867624652494,4.648484848484848,0.00014146021475646109,0.5744465605018831,0.8178352367484081,0.01
3712,0.0,4.171717171717172,0.0,3.408410124491638,3.408410124491638,5.9
3744,3.8584700022955767,5.9,-0.00198034963117434,8.929479081015472,5.071009078719896,2.849682805864404
3775,2.8303998696663903,4.946464646464647,-0.0017148820828153486,13.41993058457751,10.58953071491112,2.561761156384497
3806,8.297586535612822,5.9,-0.004268362682349035,17.77229494007969,9.474708404466867,2.303946375382181
3837,11.331564529980596,5.9,-0.006295269965025034,20.30853786845597,8.976973338475375,1.912683898507542
3868,14.211102908065186,5.9,-0.008414811933472122,23.50216272651039,9.291059818445206,1.56777994023976
3900,5.64374591194883,5.9,-0.0027497961087672596,15.4496423425926,9.80589643064377,3.097907769448234
3931,0.0,0.5363636363636364,-6.183498157952273e-18,10.91489715128472,10.91489715128472,5.9
3962,0.0,4.171717171717172,0.0,5.986415775197202,5.986415775197202,5.9
3993,0.0,0.595959595959596,-7.729372697440341e-19,1.746228303889779,1.746228303889779,5.9
4024,-0.036108673652393036,0.6555555555555556,2.0986764085404118e-05,0.2204444937438552,0.2565531673962482,0.01000000000757355
4056,-0.8175847088368755,4.41010101010101,0.00047450778980788813,0.0,0.8175847088368755,0.0
4087,-1.204112139404288,4.648484848484848,0.0006988396233124436,0.0,1.204112139404288,0.0
4118,1.1976600660900658,4.946464646464647,-0.0004876458400198358,5.80305039955266,4.605390333462594,4.121775983684556
4149,5.529641578351292,5.9,-0.002371684375869977,10.01975053609431,4.490108957743018,3.518255874468931
4180,6.845552472382849,5.9,-0.0036630128738613468,17.09344345607434,10.24789098369149,1.704956623900827
4212,12.535356447221318,5.9,-0.006537312059844168,22.11935469309691,9.583998245875591,2.277181470302153
4243,9.667243404004527,5.9,-0.004843341489947204,19.41667209354131,9.749428689536785,2.780726625874443
4274,4.54167587731326,5.9,-0.00207934070433151,14.84257108423191,10.30089520691865,3.348861294121916
4305,1.36707054858846,5.9,-0.00033466342815625775,11.81902269666443,10.45195214807597,4.707757170805607
4336,0.0,0.5363636363636364,0.0,4.490315990233455,4.490315990233455,5.9
4368,-0.2339628295685543,3.2181818181818183,0.00013578676797137163,0.0,0.2339628295685543,0.0
4399,0.0,0.1191919191919192,0.0,1.443455994753663,1.443455994753663,5.9
4430,0.0,0.2383838383838384,0.0,0.267135282223137,0.267135282223137,5.9
4461,0.0,0.1787878787878788,0.0,2.558849816995064,2.558849816995064,5.9
4492,2.348236387770328,5.9,-0.0002704588896817938,7.196111717350618,4.84787532958029,5.43166446258469
4524,13.502579810099746,5.9,-0.007444343907837955,19.14120234696452,5.638622536864773,1.583628203553251
4555,15.101444407477231,5.9,-0.00811227611671484,20.61145036971658,5.510005962239347,2.108049170673161
4586,18.31549296960264,5.9,-0.01048278919062204,23.88120486814233,5.565711898539689,1.674114994361728
4617,13.948960859833388,5.9,-0.007793757595706137,19.95930814028753,6.010347280454141,2.141544847210859
4648,7.946940482698269,5.9,-0.004085059415761182,14.43581697665502,6.488876493956752,2.841658847739555
4680,0.0,0.595959595959596,9.27524723692841e-18,6.08929479070008,6.08929479070008,5.9
4711,-0.6288631464381638,5.9,0.00037149741253474913,2.573024255347377,3.201887401785541,0.01000013682239544
4742,-0.2537913967479426,3.2181818181818183,0.0001472948227156122,0.0,0.2537913967479426,0.0
4773,0.0,0.1191919191919192,0.0,0.2848898726094262,0.2848898726094262,5.9
4804,-0.6426287727769022,3.2181818181818183,0.00037296729665006897,0.0,0.6426287727769022,0.0
4836,0.0,0.2383838383838384,0.0,3.000656508169413,3.000656508169413,5.9
4867,8.376549313931942,5.363636363636364,-0.005383897629273468,16.31135560749055,7.934806293558609,1.014233333106905
4898,16.496231706545704,5.9,-0.009349578213650471,21.87067248516593,5.374440778620226,0.9795331422477105
4929,16.78216814966305,5.9,-0.009667958138196516,20.76216814966307,3.980000000000018,1.459671626456136
4960,14.889285370705128,5.9,-0.008642461777595627,19.31036564999454,4.421080279289413,1.721847114096149
4992,9.388830709214568,5.9,-0.004565314071481911,14.37824444627068,4.989413737056111,3.101129355854544
5023,6.0717133980745075,5.9,-0.002641879622136028,11.20320671045505,5.131493312380542,3.526809649683337
5054,0.0,0.2383838383838384,-9.27524723692841e-18,5.405308592199788,5.405308592199788,5.9
5085,-0.1232417182470158,4.231313131313131,7.768861489905292e-05,0.0,0.1232417182470158,0.6936842479610058
5116,0.0,0.2383838383838384,0.0,0.8464002012619289,0.8464002012619289,5.9
5148,0.0,0.1191919191919192,-7.729372697440341e-19,1.397606661626639,1.397606661626639,5.9
5179,-0.6531047592063715,5.184848484848485,0.0003790473237261342,0.0,0.6531047592063715,0.0
5210,0.0,0.2383838383838384,0.0,5.476507428139143,5.476507428139143,5.9
5241,7.7921551516013725,5.9,-0.004081876668797343,14.7015868548205,6.909431703219127,1.784928942208075
5272,11.615637318443248,5.9,-0.005881313775626464,16.46487324568494,4.849235927241693,2.35635542662796
5304,19.448797605110826,5.9,-0.011104068921962851,23.88577445856481,4.436976853453984,1.468701127270555
5335,19.891711050119792,5.9,-0.010386338208653369,24.35224334316109,4.460532293041297,2.401585407607444
5366,9.146507083538435,5.9,-0.004361002565204794,14.43838775974643,5.291880676207995,3.190076701938718
5397,2.676917578300163,5.9,-0.0008508019233359244,8.212126497571774,5.535208919271611,4.302628586467449
5428,0.0,4.171717171717172,0.0,5.218626938996067,5.218626938996067,5.9
5460,0.0,0.5363636363636364,0.0,4.337751258372066,4.337751258372066,5.9
5491,-0.4967034654634972,5.184848484848485,0.00022440535034365646,0.0,0.4967034654634972,3.860310209522031
5522,0.0,4.171717171717172,0.0,0.548848464701905,0.548848464701905,5.9
5553,0.0,0.5363636363636364,0.0,2.135526317975632,2.135526317975632,5.9
5584,0.0,0.2383838383838384,0.0,6.248959038753242,6.248959038753242,5.9
5616,5.801353954270947,5.9,-0.0031728905886741865,12.51175599044927,6.710402036178323,2.33294716265101
5647,9.772016517650684,5.9,-0.005725005139978276,16.59456937161451,6.822552853963828,1.853953368819287
5678,13.86547747292525,5.9,-0.007942516191101102,20.68556534375591,6.820087870830662,2.10939371216517
5709,15.640213511135187,5.9,-0.009095021770111181,22.56107148474439,6.920857973609202,1.961114686312866
5740,7.3773738434341,5.9,-0.004080092920139431,14.59411355630715,7.21673971287305,2.394834832822956
5772,2.0494815791604983,5.9,-0.0007958465293451451,9.49204183252209,7.442560253361592,3.860365454814755
5803,-0.41157774862625685,5.602020202020202,5.412544105677768e-05,2.36224980400533,2.773827552631587,5.369641776486545
5834,-2.671312062711308,5.006060606060606,0.0014001158895671135,0.0,2.671312062711308,3.362625088423381
5865,-3.094382274097313,5.780808080808081,0.001621859853378982,0.0,3.094382274097313,3.362625088423381
5896,-3.324338674748276,5.006060606060606,0.001742386996183963,0.0,3.324338674748276,3.362625088423381
5928,-3.475517670128909,5.423232323232323,0.00182162450518034,0.0,3.475517670128909,3.362625088423381
5959,-0.00990126771262112,4.648484848484848,5.754727288832268e-06,3.188334643035887,3.198235910748508,0.01
5990,9.44313113840235,5.9,-0.004772565893232839,13.46060922361437,4.017478085212019,2.340418547370588
6021,15.284491527461853,5.9,-0.008763706854112818,19.27707448724857,3.992582959786716,1.484895885131777
6052,17.6105265882083,5.9,-0.010527620472341218,21.87849241804622,4.26796582983792,1.112417070433431
6084,15.368807642548749,5.9,-0.0084675852209074,19.79031662644127,4.421508983892522,2.268903116213064
6115,7.190150251582003,5.9,-0.0038681812208046485,12.10858070475678,4.918430453174778,2.565242989565579
6146,0.0,0.2383838383838384,0.0,7.117164088786012,7.117164088786012,5.9
6177,0.0,4.171717171717172,0.0,2.467955382006494,2.467955382006494,5.9
6209,-0.5561322378310933,5.006060606060606,0.00032276665177552607,0.0,0.5561322378310933,0.0
